Species,Age,Total aboveground biomass (g m-2),Leaf biomass (g m-2),Proportion ANPP to leaves,LAI,Annual production (g m-2),Site,Notes,Source,,,,,,,,
Larix decidua,NA,NA,357.8317104,NA,NA,1000.267416,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,449.1028509,NA,NA,1098.603565,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,NA,NA,366.2429314,NA,NA,1473.633405,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,59,NA,NA,NA,NA,460,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,46.5,NA,NA,NA,NA,160,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,60.5,NA,NA,NA,NA,740,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,48.5,NA,NA,NA,NA,260,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,27,NA,NA,NA,NA,370,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,21,NA,NA,NA,NA,990,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,34,NA,NA,NA,NA,790,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,36,NA,NA,NA,NA,250,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,34,NA,NA,NA,NA,580,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,35,NA,NA,NA,NA,280,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,17,NA,NA,NA,NA,970,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,20.5,NA,NA,NA,NA,610,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,15,NA,NA,NA,NA,520,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,13,NA,NA,NA,NA,700,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,17,NA,NA,NA,NA,880,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,17.5,NA,NA,NA,NA,770,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,17.5,NA,NA,NA,NA,430,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,17,NA,NA,NA,NA,670,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,13,NA,NA,NA,NA,1100,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,12.6,NA,NA,NA,NA,920,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,13,NA,NA,NA,NA,1450,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,27,NA,NA,NA,NA,40,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,21.5,NA,NA,NA,NA,560,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,11.5,NA,NA,NA,NA,820,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,39,NA,NA,NA,NA,310,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,38,NA,NA,NA,NA,440,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,49,NA,NA,NA,NA,260,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,56,NA,NA,NA,NA,230,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,36,NA,NA,NA,NA,270,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,65,NA,NA,NA,NA,120,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,58,NA,NA,NA,NA,410,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,29,NA,NA,NA,NA,140,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,35.5,NA,NA,NA,NA,220,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,28.5,NA,NA,NA,NA,270,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,33.5,NA,NA,NA,NA,180,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,41,NA,NA,NA,NA,860,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,67,NA,NA,NA,NA,300,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,46.5,NA,NA,NA,NA,520,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,35.5,NA,NA,NA,NA,360,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,44.5,NA,NA,NA,NA,370,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,63,NA,NA,NA,NA,130,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,64,NA,NA,NA,NA,210,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,24,NA,NA,NA,NA,830,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,61.5,NA,NA,NA,NA,280,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,45,NA,NA,NA,NA,310,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,47,NA,NA,NA,NA,220,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,59.5,NA,NA,NA,NA,420,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,64.5,NA,NA,NA,NA,270,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,33,NA,NA,NA,NA,880,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,32,NA,NA,NA,NA,370,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,37,NA,NA,NA,NA,860,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,51,NA,NA,NA,NA,130,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Pinus resinosa,50,NA,NA,NA,NA,150,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Larix decidua,35.5,NA,NA,NA,NA,380,"Upper peninsula, N WI, N MN, S MI, S Ontario",Digitized from figures; data not all provided together,"Gerlach, J. P. 2001. A comparison of productivity and related traits for European larch (Larix decidua Miller) and red pine (Pinus resinosa Ait.) across a site quality gradient in the Great Lakes region. Michigan State University.",,,,,,,,
Betula pendula,11,5770,420,NA,3.21,525,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,16,10920,320,NA,3.88,432,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,26,17530,310,NA,3.03,674,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,8,570,60,NA,3.47,71,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,8,2590,360,NA,4.07,407,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,17,8910,190,NA,4.07,524,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,32,14290,210,NA,4.09,447,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,10,960,210,NA,2.07,96,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,7,3770,450,NA,1.07,107,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,12,10130,590,NA,0.66,844,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,8,3940,400,NA,2.07,493,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,7,1870,380,NA,2.99,267,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,7,1030,200,NA,3.11,147,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,14,4650,280,NA,5.12,332,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,20,4610,140,NA,2.85,231,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,11,1110,170,NA,4.58,101,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,12,6080,520,NA,4.89,507,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,6,2040,570,NA,1.35,340,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,11,650,60,NA,2,59,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,6,1330,250,NA,1.37,222,Sweden,,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,22,6380,NA,NA,NA,290,UK,From other studies; in Table 8,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,22,5940,NA,NA,NA,270,UK,From other studies; in Table 9,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,6,1700,NA,NA,NA,20,UK,From other studies; in Table 10,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,24,7990,NA,NA,NA,270,UK,From other studies; in Table 11,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,27,7830,NA,NA,NA,290,UK,From other studies; in Table 12,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,32,6380,NA,NA,NA,210,UK,From other studies; in Table 13,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,24,NA,NA,NA,NA,190,Sweden,From other studies; in Table 14,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,25,8280,NA,NA,NA,330,France,From other studies; in Table 15,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,40,9200,NA,NA,NA,230,Finland,From other studies; in Table 16,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pubescens,20,3500,NA,NA,NA,170,Finland,From other studies; in Table 17,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,14,7700,NA,NA,NA,550,Belgium,From other studies; in Table 18,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Betula pendula,14,5900,NA,NA,NA,420,Finland,From other studies; in Table 19,"Johansson, T. 1999. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16:223–238.",,,,,,,,
Juglans nigra,23,8817,NA,NA,5.21,388,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,24,14402,NA,NA,6.8,629,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,23,14302,NA,NA,7.1,493,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,22,10024,NA,NA,5.5,344,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Tilia cordata,17,9608,NA,NA,11.9,523,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,24,13204,NA,NA,5.6,561,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,28,10754,NA,NA,4.56,218,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,29,17549,NA,NA,6.02,489,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
